Depth/Date,5/1/2007
-0.14,11.062
-0.12,11.019
-0.1,9.784
-0.06,10.005
-0.05,8.955
-0.04,9.729
-0.02,8.457
-0.01,-6.804
0,-6.906
0.002,-7.473
0.01,-7.007
0.02,-6.933
0.03,-7.21
0.034,-7.251
0.04,-7.344
0.05,-7.498
0.07,-7.808
0.08,-7.953
0.09,-8.004
0.1,-8.272
0.104,-8.334
0.11,3.765
0.12,-8.413
0.13,-8.463
0.14,-8.512
0.15,-8.562
0.16,-8.473
0.17,-8.383
0.18,-8.71
0.184,-8.73
0.19,-8.747
0.2,-8.776
0.22,-8.832
0.23,-8.86
0.24,-8.662
0.25,-8.702
0.254,-8.928
0.26,-8.945
0.27,-8.972
0.28,-8.999
0.29,-9.026
0.3,-9.054
0.31,-8.944
0.32,-9.006
0.33,0.039
0.334,-9.146
0.34,1.23
0.35,-9.174
0.36,-9.191
0.37,-9.208
0.39,-9.234
0.4,-9.256
0.41,-9.277
0.414,-9.284
0.42,-9.294
0.43,-9.311
0.45,-9.346
0.46,-9.399
0.47,-9.464
0.484,-9.405
0.49,1.296
0.51,-1.263
0.52,-9.455
0.53,-9.469
0.54,-9.696
0.55,-9.729
0.56,-9.511
0.57,-0.556
0.58,-9.538
0.59,-9.552
0.6,-1.765
0.61,-9.58
0.62,-9.594
0.64,0.217
0.644,-9.627
0.65,-2.004
0.68,-9.692
0.69,-10.131
0.7,-10.16
0.71,-0.821
0.72,-9.764
0.73,-0.859
0.74,-2.435
0.8,-2.65
0.84,-2.794
0.85,-0.524
0.89,-2.974
0.91,-1.12
0.92,-3.071
